customer_id,total_debit_amount_cad,total_credit_amount_cad,debit_count,credit_count,transaction_frequency,avg_transaction_interval_day,mode_transaction_interval_day,mode_transaction_type,date_range,max_credit_transaction_amount,avg_credit_transaction_amount,max_debit_transaction_amount,avg_debit_transaction_amount,ecommerce_ratio,cash_ratio
SYNCID0000000023,510.15,40924.8,48,2,50,2.2564102564102564,1,1,88,455.78,255.075,25866.59,852.6,0.06976744186046512,0.0
SYNCID0000000024,1317.46,2692.78,6,2,8,8.0,-1,2,48,777.39,658.73,977.53,448.7966666666667,0.0,0.0
SYNCID0000000025,36807.72,14730.78,51,17,68,2.116279069767442,0,3,91,19828.09,2165.16,2250.96,288.8388235294118,0.06451612903225806,0.0
SYNCID0000000026,2949.84,41428.700000000004,161,4,165,1.2297297297297298,0,1,91,1856.27,737.46,6569.72,257.3211180124224,0.08024691358024691,0.0
SYNCID0000000029,7109.34,9462.81,32,10,42,2.7096774193548385,1,1,84,4300.27,710.934,1401.09,295.7128125,0.19230769230769232,0.0
SYNCID0000000032,25948.81,38293.2,174,4,178,1.1666666666666667,0,1,91,22377.54,6487.2025,7385.16,220.0758620689655,0.2247191011235955,0.0
SYNCID0000000033,8828.12,53101.01,178,14,192,1.1818181818181819,0,1,91,2634.64,630.58,4923.06,298.32028089887643,0.2768361581920904,0.0
SYNCID0000000034,12968.35,14263.4,36,5,41,2.8125,1,1,90,6876.76,2593.67,3870.62,396.2055555555555,0.4074074074074074,0.6
SYNCID0000000035,17757.33,9706.43,4,5,9,10.875,-1,2,87,8306.06,3551.4660000000003,7184.42,2426.6075,0.0,0.0
SYNCID0000000036,292606.07,843289.97,214,179,393,1.2816901408450705,0,3,91,44177.94,1634.6707821229052,262342.21,3940.607336448598,0.17391304347826086,0.0
SYNCID0000000037,53759.38,43633.09,16,18,34,3.25,1,3,91,21316.19,2986.632222222222,15868.57,2727.068125,0.0,0.0
SYNCID0000000038,136884.74,74057.68,123,29,152,1.2638888888888888,0,1,91,67268.48,4720.163448275862,10467.19,602.0949593495934,0.3181818181818182,1.0
SYNCID0000000039,4363.0,119658.40000000001,40,9,49,3.4615384615384617,0,3,90,1711.55,484.77777777777777,35386.72,2991.46,0.0,0.0
SYNCID0000000040,145916.16,308482.66000000003,135,72,207,1.3,0,2,91,18304.94,2026.6133333333335,65254.4,2285.056740740741,0.07142857142857142,0.0
SYNCID0000000041,-345.37,12723.05,82,1,83,1.5892857142857142,1,1,89,-345.37,-345.37,1898.76,155.1591463414634,0.1686746987951807,0.0
SYNCID0000000042,3571.7,4272.58,3,4,7,14.666666666666666,-1,3,88,1883.57,892.925,3714.79,1424.1933333333334,0.0,0.0
SYNCID0000000043,657335.37,451059.56,135,178,313,1.467741935483871,0,3,91,112955.01,3692.8953370786517,80175.7,3341.181925925926,0.0,0.0
SYNCID0000000044,50164.53,25544.91,9,4,13,7.090909090909091,1,3,78,38903.55,12541.1325,11642.77,2838.3233333333333,0.0,0.0
SYNCID0000000045,761.16,7021.92,3,1,4,14.0,-1,3,42,761.16,761.16,6823.17,2340.64,0.0,0.0
SYNCID0000000046,73822.98,64438.36,77,102,179,1.3484848484848484,0,4,89,8370.16,723.7547058823529,6459.0,836.8618181818182,0.3333333333333333,0.7586206896551724
SYNCID0000000047,942590.78,1175107.21,170,215,385,1.4,0,2,91,106815.79,4384.143162790698,688236.05,6912.3953529411765,0.0,0.0
SYNCID0000000048,220138.65,434590.72,25,18,43,3.25,0,3,91,123327.93,12229.925,342315.47,17383.6288,0.0,0.0
SYNCID0000000050,26465.18,70539.63,16,22,38,3.185185185185185,0,2,86,4591.62,1202.9627272727273,17755.76,4408.726875,0.0,0.0
SYNCID0000000051,9030.57,3065.1499999999996,13,10,23,4.7894736842105265,1,3,91,5891.33,903.057,1033.42,235.7807692307692,0.0,0.6666666666666666
SYNCID0000000052,107484.22,162927.03,84,39,123,1.6545454545454545,0,3,91,63876.46,2756.005641025641,87372.47,1939.6075,0.05128205128205128,0.0
SYNCID0000000053,192.67,27473.37,62,6,68,1.9361702127659575,1,1,91,377.68,32.111666666666665,11161.0,443.11887096774194,0.1,0.0
SYNCID0000000055,48001.03,87582.97,6,6,12,7.9,1,3,79,18635.47,8000.171666666666,76719.9,14597.161666666667,0.0,0.0
SYNCID0000000056,258607.29,85267.83,60,13,73,1.9782608695652173,0,1,91,236958.58,19892.868461538463,38548.48,1421.1305,0.17777777777777778,0.0
SYNCID0000000057,44604.19,83039.81,103,24,127,1.4,0,1,91,17689.84,1858.5079166666667,19379.33,806.2117475728155,0.2111111111111111,0.0
SYNCID0000000058,28263.8,116926.14,136,7,143,1.3582089552238805,0,1,91,25151.3,4037.6857142857143,86907.23,859.7510294117646,0.11194029850746269,0.0
SYNCID0000000059,12199.42,19440.96,11,7,18,6.357142857142857,0,2,89,4394.34,1742.7742857142857,14805.85,1767.36,0.3333333333333333,0.0
SYNCID0000000060,35383.79,94522.15,334,16,350,1.0224719101123596,0,1,91,14579.3,2211.486875,10791.1,283.0004491017964,0.18042813455657492,0.5
SYNCID0000000061,23350.170000000002,11722.23,6,12,18,6.071428571428571,2,3,85,7217.61,1945.8475,8357.69,1953.705,0.5,0.0
SYNCID0000000062,453158.43,27741.82,68,7,75,2.022222222222222,0,1,91,450486.23,64736.91857142857,6568.74,407.96794117647056,0.1206896551724138,0.8
SYNCID0000000063,20367.18,316790.25,55,27,82,1.8,0,4,90,2707.28,754.34,262017.1,5759.822727272727,1.0,1.0
SYNCID0000000064,10675.47,61688.44,90,14,104,1.4516129032258065,1,1,90,2598.15,762.5335714285713,22174.18,685.4271111111111,0.32142857142857145,0.0
SYNCID0000000065,55760.48,44541.51,72,16,88,1.6981132075471699,0,1,90,28764.75,3485.03,20406.65,618.6320833333334,0.23728813559322035,0.7
SYNCID0000000066,26331.219999999998,39695.350000000006,118,10,128,1.378787878787879,0,1,91,15975.64,2633.122,19511.33,336.40127118644074,0.12295081967213115,0.0
SYNCID0000000067,126551.59,329611.42,99,40,139,1.4918032786885247,0,2,91,26810.98,3163.78975,79672.64,3329.4082828282826,0.0,0.5
SYNCID0000000068,48426.28,121537.51000000001,98,14,112,1.3484848484848484,1,0,89,9114.35,3459.02,57152.47,1240.1786734693878,0.0,0.8947368421052632
SYNCID0000000069,5049.96,2373.5699999999997,5,8,13,7.5,2,4,90,1729.98,631.245,1296.98,474.71399999999994,0.0,0.0
SYNCID0000000070,1687.0500000000002,1579.94,2,7,9,7.857142857142857,3,4,55,597.69,241.0071428571429,1062.08,789.97,0.0,0.0
SYNCID0000000071,56563.67,52140.729999999996,77,16,93,1.6545454545454545,0,1,91,28839.3,3535.229375,8188.07,677.1523376623376,0.2153846153846154,1.0
SYNCID0000000072,20220.97,4952.04,16,3,19,5.055555555555555,1,1,91,10829.68,6740.323333333334,1614.66,309.5025,0.1,1.0
SYNCID0000000073,170492.11000000002,92810.96,27,19,46,2.5277777777777777,1,3,91,102647.5,8973.268947368422,38888.28,3437.442962962963,0.0,0.0
SYNCID0000000074,10056.6,73822.86,15,8,23,5.6875,0,2,91,4523.18,1257.075,46324.77,4921.524,0.0,0.0
SYNCID0000000075,44342.86,256777.84000000003,27,27,54,2.6666666666666665,0,4,88,26964.59,1642.328148148148,232576.73,9510.29037037037,0.16666666666666666,0.6
SYNCID0000000076,97.9,233.59,2,1,3,28.5,-1,3,57,97.9,97.9,222.81,116.795,0.0,0.0
SYNCID0000000077,30926.02,47805.13,98,20,118,1.267605633802817,1,1,90,17358.89,1546.301,4637.98,487.8074489795918,0.4189189189189189,0.0
SYNCID0000000078,19473.170000000002,58655.340000000004,39,8,47,3.2142857142857144,0,2,90,6498.27,2434.1462500000002,17118.07,1503.983076923077,1.0,0.0
SYNCID0000000081,4244.69,15697.65,19,2,21,4.0,2,2,72,3982.33,2122.345,3792.49,826.1921052631578,0.0,0.0
SYNCID0000000082,449760.58999999997,54615.21,9,7,16,6.615384615384615,6,3,86,391903.04,64251.51285714285,31136.81,6068.356666666667,0.0,0.0
SYNCID0000000083,1629.1,675.3499999999999,2,4,6,20.666666666666668,0,3,62,770.79,407.275,432.28,337.67499999999995,0.0,0.0
SYNCID0000000084,138542.18,74093.15,71,37,108,1.6071428571428572,0,2,90,24203.86,3744.383243243243,7261.81,1043.5654929577463,0.375,0.5625
SYNCID0000000085,6542.36,15178.85,24,3,27,4.631578947368421,0,1,88,5386.36,2180.7866666666664,4029.36,632.4520833333333,0.125,1.0
SYNCID0000000086,313443.09,405272.91,219,131,350,1.3,0,2,91,179243.27,2392.6953435114506,132862.19,1850.5612328767122,0.2777777777777778,0.0
SYNCID0000000087,1062377.54,202053.24,143,203,346,1.2816901408450705,0,3,91,407847.32,5233.386896551724,17773.81,1412.9597202797202,0.2962962962962963,0.0
SYNCID0000000088,108976.05,894.59,5,5,10,8.625,7,3,69,89116.49,21795.21,665.24,178.918,0.0,0.0
SYNCID0000000089,24923.34,27343.57,54,25,79,1.8936170212765957,0,1,89,2604.48,996.9336,4850.59,506.3624074074074,0.10256410256410256,1.0
SYNCID0000000090,1735.22,57837.99,213,2,215,1.1375,0,1,91,1194.75,867.61,14569.84,271.53985915492956,0.2930232558139535,0.0
SYNCID0000000091,25556.780000000002,4625.98,7,4,11,10.0,3,3,90,22264.22,6389.195000000001,2604.87,660.8542857142857,0.0,0.0
SYNCID0000000092,16474.7,93226.81999999999,11,4,15,7.0,6,2,84,10848.51,4118.675,64817.75,8475.165454545453,0.0,0.0
SYNCID0000000093,67944.34999999999,25990.75,22,16,38,2.9655172413793105,1,2,86,51169.76,4246.521874999999,6454.95,1181.3977272727273,0.3333333333333333,0.0
SYNCID0000000094,428392.52999999997,2210901.98,56,21,77,1.78,1,1,89,223597.86,20399.644285714283,2076367.63,39480.3925,0.27906976744186046,0.5
SYNCID0000000095,30759.18,3265.99,13,9,22,5.294117647058823,0,0,90,14039.42,3417.6866666666665,1272.2,251.23,0.0,0.45454545454545453
SYNCID0000000096,265744.03,273111.02,74,29,103,1.9782608695652173,0,3,91,102737.98,9163.587241379311,75849.71,3690.6894594594596,0.0,0.0
SYNCID0000000097,7093.89,28827.300000000003,10,3,13,8.0,0,3,72,6970.17,2364.63,11249.32,2882.7300000000005,0.0,0.0
SYNCID0000000098,336264.42,242257.54,32,26,58,2.1538461538461537,1,3,84,211779.71,12933.246923076922,65337.82,7570.548125,0.0,0.0
SYNCID0000000099,2009.02,36947.29,20,3,23,4.190476190476191,1,4,88,1155.81,669.6733333333333,19177.51,1847.3645000000001,0.0,1.0
SYNCID0000000100,113869.98,44933.07,78,130,208,1.25,0,4,90,28139.59,875.9229230769231,3217.11,576.0649999999999,0.34615384615384615,0.7142857142857143
SYNCID0000000101,301717.48,518523.39,90,47,137,1.5166666666666666,0,3,91,42988.32,6419.5208510638295,138914.44,5761.371,0.0,0.0
SYNCID0000000102,13362.359999999999,287.22,3,4,7,10.333333333333334,8,2,62,10932.75,3340.5899999999997,141.22,95.74000000000001,0.0,0.0
SYNCID0000000103,28650.23,33104.04,39,15,54,2.5277777777777777,0,2,91,20235.17,1910.0153333333333,5198.84,848.8215384615385,0.0,0.0
SYNCID0000000104,875.0,164.67000000000002,2,2,4,18.666666666666668,-1,3,56,596.58,437.5,139.4,82.33500000000001,0.0,0.0
SYNCID0000000105,44346.48,23311.5,14,46,60,2.5277777777777777,0,3,91,10252.48,964.0539130434784,10508.26,1665.107142857143,1.0,0.0
SYNCID0000000106,77781.33,178184.72,35,38,73,2.0454545454545454,0,2,90,20827.6,2046.877105263158,82094.59,5090.992,0.5,0.5
SYNCID0000000107,1799701.04,5703449.64,124,419,543,1.318840579710145,0,3,91,242441.82,4295.2292124105015,4228795.39,45995.56161290322,0.15151515151515152,0.0
SYNCID0000000108,80833.02,170942.14,45,27,72,2.0930232558139537,0,2,90,20754.49,2993.815555555556,79192.37,3798.7142222222224,0.0,0.0
SYNCID0000000109,19655.28,22642.77,7,3,10,9.777777777777779,-1,3,88,14147.01,6551.759999999999,8564.98,3234.6814285714286,0.0,0.0
SYNCID0000000110,68391.49,176666.01,81,28,109,1.625,0,3,91,12216.77,2442.5532142857146,29182.12,2181.0618518518518,0.47058823529411764,0.3333333333333333
SYNCID0000000111,25391.38,66093.35,28,6,34,3.107142857142857,1,2,87,13423.09,4231.8966666666665,10316.09,2360.476785714286,0.0,0.0
SYNCID0000000112,28255.31,475.89,4,4,8,7.166666666666667,-1,3,43,18837.27,7063.8275,276.71,118.9725,0.0,0.0
SYNCID0000000113,599064.03,287128.03,40,143,183,1.5517241379310345,0,3,90,82129.9,4189.2589510489515,77446.89,7178.200750000001,0.0,0.0
SYNCID0000000115,1788.75,14817.49,13,3,16,6.846153846153846,0,2,89,914.14,596.25,4484.46,1139.806923076923,0.0,0.0
SYNCID0000000116,38552.56,119828.66,32,32,64,2.0,1,2,90,9303.43,1204.7675,46542.04,3744.645625,0.0,0.0
SYNCID0000000117,90728.98999999999,136464.6,347,31,378,1.0340909090909092,0,1,91,41072.88,2926.7416129032254,10187.38,393.26974063400576,0.2724252491694352,0.0
SYNCID0000000118,46312.29,40625.89,24,12,36,2.8666666666666667,1,2,86,17078.4,3859.3575,15435.77,1692.7454166666666,0.0,0.0
SYNCID0000000119,1543.22,15393.91,5,1,6,16.8,29,3,84,1543.22,1543.22,11907.97,3078.782,0.0,0.0
SYNCID0000000120,559861.83,543970.81,93,193,286,1.4918032786885247,0,3,91,93973.14,2900.838497409326,153976.85,5849.148494623657,0.0,0.0
SYNCID0000000122,30822.63,1614.34,4,2,6,11.4,-1,1,57,30697.4,15411.315,1351.99,403.585,0.25,0.0
SYNCID0000000123,36168.06,6735.629999999999,3,2,5,18.75,-1,2,75,32406.96,18084.03,2644.24,2245.2099999999996,0.0,0.0
SYNCID0000000124,10667.01,1331.38,12,12,24,4.095238095238095,2,4,86,3236.61,888.9175,269.25,110.94833333333334,0.0,0.0
SYNCID0000000125,180056.62,249243.21,22,22,44,2.870967741935484,1,2,89,53476.25,8184.391818181818,182815.71,11329.236818181818,0.0,0.0
SYNCID0000000126,315263.08999999997,66422.3,74,44,118,1.6363636363636365,0,4,90,265574.86,7165.070227272727,22312.58,897.5986486486487,0.17857142857142858,0.0
SYNCID0000000127,56772.37,118559.61,32,24,56,2.5,0,3,90,18748.9,2365.5154166666666,39244.44,3704.9878125,0.42857142857142855,0.0
SYNCID0000000128,257803.66,216027.3,79,189,268,1.4918032786885247,0,3,91,36628.14,1364.040529100529,25347.81,2734.5227848101263,0.0,0.0
SYNCID0000000129,59341.48,18508.49,74,19,93,1.5789473684210527,0,1,90,11594.03,3123.2357894736842,2238.37,250.11472972972976,0.24561403508771928,0.6666666666666666
SYNCID0000000131,2638.92,9564.77,49,5,54,2.3333333333333335,1,1,91,1764.9,527.784,4912.76,195.19938775510204,0.21153846153846154,0.5
SYNCID0000000132,4050.6099999999997,9445.710000000001,21,3,24,4.333333333333333,3,1,91,2347.92,1350.2033333333331,4556.97,449.7957142857143,0.16666666666666666,0.0
SYNCID0000000133,20228.14,55101.36,11,8,19,6.214285714285714,0,3,87,12870.52,2528.5175,40075.91,5009.214545454545,0.0,0.0
SYNCID0000000134,1072.07,2294.2200000000003,3,2,5,14.25,-1,3,57,1037.27,536.035,1256.73,764.7400000000001,0.0,0.0
SYNCID0000000135,-39.82,19.33,1,1,2,11.0,-1,1,11,-39.82,-39.82,19.33,19.33,0.0,0.0
SYNCID0000000136,585.04,568.14,1,1,2,7.0,-1,2,7,585.04,585.04,568.14,568.14,0.0,0.0
SYNCID0000000137,1450991.71,589886.03,38,256,294,1.4444444444444444,0,3,91,287873.14,5667.9363671875,208996.08,15523.31657894737,0.0,0.0
SYNCID0000000138,125108.62,131352.7,15,10,25,4.684210526315789,0,2,89,115948.62,12510.862,105727.47,8756.846666666668,0.0,0.0
SYNCID0000000139,22184.61,14650.369999999999,18,30,48,2.4411764705882355,0,4,83,10094.12,739.487,5038.08,813.9094444444444,0.0,0.0
SYNCID0000000140,3823.71,18058.66,44,7,51,2.3333333333333335,1,1,91,1597.98,546.2442857142858,3021.65,410.4240909090909,0.38235294117647056,0.0
SYNCID0000000141,23889.93,38149.62,12,16,28,3.1818181818181817,1,3,70,7839.15,1493.120625,21528.16,3179.135,0.0,0.0
SYNCID0000000142,9129.43,59791.63,263,9,272,1.1097560975609757,0,1,91,4566.86,1014.3811111111112,10325.71,227.34460076045627,0.40808823529411764,0.0
SYNCID0000000143,183516.03,141890.68,133,49,182,1.2328767123287672,0,4,90,66135.46,3745.225102040816,10716.55,1066.8472180451126,0.36363636363636365,0.0
SYNCID0000000144,645495.13,1341736.6199999999,285,225,510,1.1973684210526316,0,2,91,83472.56,2868.8672444444446,650180.57,4707.847789473683,0.0,0.75
SYNCID0000000145,17666.86,252326.09,26,7,33,4.136363636363637,0,2,91,8321.44,2523.837142857143,219508.95,9704.849615384615,0.0,0.0
SYNCID0000000146,136813.91,521024.52,110,39,149,1.6851851851851851,0,3,91,51831.27,3508.0489743589746,248002.57,4736.586545454546,0.0,0.0
SYNCID0000000147,48556.38,189547.72,58,20,78,1.9782608695652173,0,4,91,14123.92,2427.819,84205.4,3268.0641379310346,0.0,0.0
SYNCID0000000148,62033.130000000005,33707.56,21,6,27,4.0,5,2,88,52014.36,10338.855000000001,8872.86,1605.1219047619047,0.5,0.0
SYNCID0000000149,123556.79999999999,531261.75,70,35,105,1.5423728813559323,0,4,91,43935.36,3530.1942857142853,465460.81,7589.453571428571,0.6,0.6666666666666666
SYNCID0000000150,214483.35,28014.17,27,25,52,2.4324324324324325,0,3,90,164067.13,8579.334,7272.36,1037.5618518518518,0.2,0.0
SYNCID0000000151,35216.98,67975.98,35,27,62,2.142857142857143,1,3,90,10927.24,1304.3325925925926,14922.05,1942.1708571428571,0.1111111111111111,0.0
SYNCID0000000152,141.88,107.99,1,1,2,54.0,-1,4,54,141.88,141.88,107.99,107.99,0.0,0.0
SYNCID0000000153,279176.22,103935.08,44,50,94,1.82,0,3,91,141781.09,5583.524399999999,19942.44,2362.160909090909,0.0,0.0
SYNCID0000000154,17811.129999999997,37088.7,9,5,14,7.909090909090909,0,3,87,10885.31,3562.2259999999997,13825.16,4120.966666666666,0.0,0.0
SYNCID0000000156,19415.91,57206.23,23,20,43,2.65625,1,3,85,4219.35,970.7955,10762.9,2487.2273913043477,0.0,0.0
SYNCID0000000159,59407.329999999994,388753.26,104,14,118,1.5423728813559323,0,2,91,25119.46,4243.380714285714,104767.79,3738.0121153846153,0.18518518518518517,0.0
SYNCID0000000160,21527.989999999998,1535.08,1,2,3,23.0,-1,2,46,21490.76,10763.994999999999,1535.08,1535.08,0.0,0.0
SYNCID0000000161,39594.08,5126.01,8,8,16,5.8,1,4,87,33261.91,4949.26,1272.99,640.75125,0.0,0.0
SYNCID0000000162,55518.16,100933.43,437,35,472,1.0340909090909092,0,1,91,11427.57,1586.2331428571429,9512.15,230.96894736842103,0.19630484988452657,0.75
SYNCID0000000163,40237.7,37309.02,44,11,55,2.282051282051282,1,1,89,33093.27,3657.972727272727,26513.38,847.9322727272727,0.16666666666666666,0.0
SYNCID0000000164,594954.76,388572.31,95,114,209,1.4918032786885247,0,3,91,178627.27,5218.901403508772,64277.72,4090.234842105263,0.0,0.0
SYNCID0000000165,252933.72,573861.69,174,84,258,1.1518987341772151,0,3,91,43930.18,3011.115714285714,436677.7,3298.055689655172,0.19130434782608696,0.6666666666666666
SYNCID0000000166,2140.4,15409.78,43,2,45,2.870967741935484,0,1,89,1668.35,1070.2,4409.87,358.36697674418605,0.12195121951219512,1.0
SYNCID0000000167,-4303.650000000001,44246.979999999996,104,2,106,1.378787878787879,1,1,91,-20.64,-2151.8250000000003,8494.46,425.4517307692307,0.22641509433962265,0.0
SYNCID0000000169,16069.720000000001,17001.01,19,16,35,3.6,0,4,90,10247.19,1004.3575000000001,3185.77,894.79,0.5,0.0
SYNCID0000000170,62545.77,41771.46,19,31,50,2.25,1,3,90,34160.54,2017.6054838709676,16991.07,2198.497894736842,0.3076923076923077,0.0
SYNCID0000000172,165535.58,297306.37,88,48,136,1.4444444444444444,0,2,91,79987.55,3448.6579166666666,70354.27,3378.4814772727273,0.0,0.0
SYNCID0000000173,31036.190000000002,250825.83,91,55,146,1.338235294117647,0,4,91,8773.03,564.2943636363636,141669.71,2756.327802197802,0.1875,1.0
SYNCID0000000175,2274399.16,366409.46,114,208,322,1.421875,0,3,91,1907940.31,10934.611346153846,100992.77,3214.118070175439,0.0,0.0
SYNCID0000000177,170539.11000000002,77668.62,47,48,95,1.8571428571428572,0,3,91,38885.07,3552.898125,18745.05,1652.523829787234,0.4444444444444444,1.0
SYNCID0000000178,17387.75,1589.98,2,4,6,9.2,3,3,46,15059.62,4346.9375,1506.75,794.99,0.0,0.0
SYNCID0000000180,13343.61,83583.6,12,13,25,5.0,0,3,90,6933.62,1026.4315384615386,35481.04,6965.3,0.0,0.0
SYNCID0000000181,1168.26,47.0,4,4,8,14.333333333333334,-1,3,86,393.2,292.065,38.62,11.75,0.0,0.0
SYNCID0000000182,50952.79,102270.47,41,41,82,1.8571428571428572,0,3,91,9128.02,1242.750975609756,30707.77,2494.401707317073,0.0,0.0
SYNCID0000000184,41118.13,67030.63,128,28,156,1.3582089552238805,0,1,91,12653.99,1468.5046428571427,6826.7,523.676796875,0.20618556701030927,0.6818181818181818
SYNCID0000000185,43858.149999999994,42431.84,39,24,63,2.5714285714285716,0,2,90,20306.85,1827.4229166666664,8711.49,1087.9958974358974,0.0,0.0
SYNCID0000000186,3147.8999999999996,5980.030000000001,4,2,6,15.8,-1,3,79,2494.85,1573.9499999999998,4120.51,1495.0075000000002,0.0,0.0
SYNCID0000000187,3334.86,1017.32,3,6,9,11.571428571428571,-1,2,81,2010.96,555.8100000000001,852.33,339.1066666666667,0.0,0.0
SYNCID0000000188,187367.77999999997,205249.08,238,43,281,1.1097560975609757,0,1,91,102718.18,4357.390232558138,36160.41,862.3910924369748,0.16847826086956522,0.0
SYNCID0000000189,13145.32,37154.14,13,14,27,4.090909090909091,0,2,90,4450.25,938.9514285714286,20947.15,2858.0107692307693,0.0,0.0
SYNCID0000000191,-237.12,55741.65,87,1,88,1.6545454545454545,1,1,91,-237.12,-237.12,23642.67,640.7086206896552,0.18181818181818182,0.0
SYNCID0000000192,37263.06,666149.2,188,18,206,1.2465753424657535,0,1,91,13311.84,2070.17,313891.14,3543.346808510638,0.2823529411764706,0.7777777777777778
SYNCID0000000193,1171.1200000000001,182.82,2,4,6,16.8,-1,4,84,661.47,292.78000000000003,141.1,91.41,0.0,0.0
SYNCID0000000194,77781.0,52.27,1,2,3,15.5,-1,2,31,76864.92,38890.5,52.27,52.27,0.0,0.0
SYNCID0000000195,9596.9,325688.75,9,5,14,6.7,0,3,67,7787.12,1919.3799999999999,178535.45,36187.63888888889,0.0,0.0
SYNCID0000000196,20370.66,52213.83,23,25,48,2.5757575757575757,0,4,85,4326.71,814.8264,17685.59,2270.1665217391305,0.0,0.0
SYNCID0000000197,2317.6000000000004,7507.18,33,4,37,2.933333333333333,1,1,88,1158.92,579.4000000000001,1094.97,227.49030303030304,0.17857142857142858,0.8571428571428571
SYNCID0000000198,477701.42,770638.97,207,196,403,1.318840579710145,0,3,91,105174.02,2437.2521428571426,91619.73,3722.893574879227,0.0,0.8181818181818182
SYNCID0000000199,2415.8499999999995,32739.22,86,3,89,1.625,1,1,91,2496.14,805.2833333333332,8012.08,380.6886046511628,0.5617977528089888,0.0
SYNCID0000000200,2264.65,421.59,1,4,5,10.75,-1,4,43,1478.69,566.1625,421.59,421.59,0.0,0.0
SYNCID0000000202,45304.35,89777.53,130,25,155,1.267605633802817,0,1,90,17999.11,1812.174,49243.07,690.5963846153846,0.22131147540983606,0.0
SYNCID0000000203,3542.19,40642.47,7,3,10,8.666666666666666,-1,3,78,2578.92,1180.73,27039.05,5806.067142857143,0.0,0.0
SYNCID0000000204,19815.74,25323.64,44,12,56,2.3333333333333335,1,1,91,8951.86,1651.3116666666667,12836.58,575.5372727272727,0.4375,0.0
SYNCID0000000205,224083.15,193009.63999999998,44,65,109,1.7169811320754718,0,3,91,70987.99,3447.433076923077,65998.66,4386.5827272727265,0.0,0.0
SYNCID0000000207,38817.55,36087.69,61,27,88,1.7450980392156863,0,3,89,10799.37,1437.687037037037,10601.62,591.6014754098361,0.07692307692307693,0.0
SYNCID0000000208,37804.74,256540.55,192,52,244,1.0833333333333333,0,1,91,3155.8,727.0142307692307,182844.73,1336.1486979166666,0.2922077922077922,0.0
SYNCID0000000209,26649.97,4771.4,5,12,17,6.5,3,3,91,14908.65,2220.8308333333334,2414.87,954.28,0.0,0.0
